alertid,eventid,clock,subject,message,status,error,alerttype,host,severity,problem_name,invalid_clock,empty_subject,empty_message,alert_status,hostname,connected_to,ip_address,topology_found,correlation_id,risk_score,risk_category,ai_root_cause_recommendation,auto_remediation_action
50001,2001001,2024-03-05 00:53:20,Problem: Interface ge-0/0/12(to_CORE-SW1): Link down,"Problem started at 10:30:00 on 2025.03.05
Problem name: Interface ge-0/0/12(to_CORE-SW1): Link down
Host: SWITCH-ACC-01
Severity: High
Operational data: Current state: down (2)
Original problem ID: 2001001
",1,,0,SWITCH-ACC-01,High,Interface ge-0/0/12(to_CORE-SW1): Link down,False,False,False,Problem,SWITCH-ACC-01,"CORE-SW1, SWITCH-ACC-01-MGMT, nan",10.1.1.2,True,INCIDENT_1,9,Critical,"Possible fiber disconnect, switch port failure, or network instability.","Inspect fiber connectivity, verify switch port health, and check interface stability."
50002,2001002,2024-03-05 00:54:20,Problem: NIC [NIC.Slot.1-1-1/A0:B1:C2:D3:E4:F5]: Link down,"Problem started at 10:31:00 on 2025.03.05
Problem name: NIC [NIC.Slot.1-1-1/A0:B1:C2:D3:E4:F5]: Link down
Host: SERVER-COMPUTE-01
Severity: Average
Operational data: Current status: disconnected (2)
Original problem ID: 2001002
",1,,0,SERVER-COMPUTE-01,Average,NIC [NIC.Slot.1-1-1/A0:B1:C2:D3:E4:F5]: Link down,False,False,False,Problem,SERVER-COMPUTE-01,SWITCH-ACC-01,10.1.1.10,True,INCIDENT_2,6,Medium,"Possible fiber disconnect, switch port failure, or network instability.","Inspect fiber connectivity, verify switch port health, and check interface stability."
50003,2001003,2024-03-05 00:55:20,Problem: PCIe 3 Temp: Temperature is above Warning threshold,"Problem started at 10:32:00 on 2025.03.05
Problem name: PCIe 3 Temp: Temperature is above Warning threshold
Host: SERVER-GPU-01
Severity: Warning
Operational data: 72 C, threshold: 70 C
Original problem ID: 2001003
",1,,0,SERVER-GPU-01,Warning,PCIe 3 Temp: Temperature is above Warning threshold,False,False,False,Problem,SERVER-GPU-01,SWITCH-ACC-03,10.3.1.10,True,INCIDENT_3,5,Medium,Possible overheating detected. Check cooling systems and GPU/server airflow.,"Inspect cooling systems, verify airflow, and check server/GPU fan status."
50004,2001004,2024-03-05 00:56:20,Problem: VPN Main-Tunnel1: Tunnel down,"Problem started at 10:33:00 on 2025.03.05
Problem name: VPN Main-Tunnel1: Tunnel down
Host: FIREWALL-MAIN-01
Severity: High
Original problem ID: 2001004
",1,,0,FIREWALL-MAIN-01,High,VPN Main-Tunnel1: Tunnel down,False,False,False,Problem,FIREWALL-MAIN-01,CORE-SW1,10.0.0.1,True,INCIDENT_4,8,High,Possible VPN negotiation failure or firewall policy mismatch.,"Verify VPN tunnel configuration, restart tunnel negotiation, and validate firewall policies."
50005,2001005,2024-03-05 00:57:20,Problem: Power Supply 1: Status degraded,"Problem started at 10:34:00 on 2025.03.05
Problem name: Power Supply 1: Status degraded
Host: SERVER-COMPUTE-02
Severity: Average
Operational data: Current status: degraded (3)
Original problem ID: 2001005
",1,,0,SERVER-COMPUTE-02,Average,Power Supply 1: Status degraded,False,False,False,Problem,SERVER-COMPUTE-02,SWITCH-ACC-01,10.1.1.12,True,INCIDENT_2,6,Medium,Possible hardware degradation or redundant power supply failure.,"Check redundant power supplies, inspect hardware components, and validate power redundancy."
50006,2001006,2024-03-05 00:58:20,Problem: No SNMP data collection,"Problem started at 10:35:00 on 2025.03.05
Problem name: No SNMP data collection
Host: SWITCH-CORE-01
Severity: Warning
Operational data: Current state: not available (0)
Original problem ID: 2001006
",1,,0,SWITCH-CORE-01,Warning,No SNMP data collection,False,False,False,Problem,SWITCH-CORE-01,CORE-SW1,10.2.1.1,True,INCIDENT_4,6,Medium,Monitoring communication failure. Check SNMP agent/network reachability.,"Verify SNMP agent availability, check monitoring connectivity, and validate network reachability."
50007,2001007,2024-03-05 00:59:20,Problem: Interface xe-0/0/23(): Link down,"Problem started at 10:36:00 on 2025.03.05
Problem name: Interface xe-0/0/23(): Link down
Host: SWITCH-ACC-03
Severity: Average
Operational data: Current state: down (2)
Original problem ID: 2001007
",2,Sending failed: connection timeout,0,SWITCH-ACC-03,Average,Interface xe-0/0/23(): Link down,False,False,False,Problem,SWITCH-ACC-03,"nan, CORE-SW1",10.3.1.3,True,INCIDENT_5,7,High,"Possible fiber disconnect, switch port failure, or network instability.","Inspect fiber connectivity, verify switch port health, and check interface stability."
50008,2001008,2024-03-05 01:00:20,Problem: System battery [NVDIMM Battery]: Status is not OK,"Problem started at 10:37:00 on 2025.03.05
Problem name: System battery [NVDIMM Battery]: Status is not OK
Host: SERVER-DB-01
Severity: Average
Operational data: Current status: unknown (2)
Original problem ID: 2001008
",1,,0,SERVER-DB-01,Average,System battery [NVDIMM Battery]: Status is not OK,False,False,False,Problem,SERVER-DB-01,SWITCH-OOB-04,10.2.1.15,True,INCIDENT_6,6,Medium,Further investigation required.,Perform detailed operational investigation and infrastructure validation.
50009,2001009,2024-03-05 01:43:20,Resolved in 5m 30s: Interface ge-0/0/12(to_CORE-SW1): Link down,"Problem has been resolved at 11:23:20 on 2025.03.05
Problem name: Interface ge-0/0/12(to_CORE-SW1): Link down
Problem duration: 5m 30s
Host: SWITCH-ACC-01
Severity: High
Original problem ID: 2001001
",1,,0,SWITCH-ACC-01,High,Interface ge-0/0/12(to_CORE-SW1): Link down,False,False,False,Resolved,SWITCH-ACC-01,"CORE-SW1, SWITCH-ACC-01-MGMT, nan",10.1.1.2,True,INCIDENT_7,9,Critical,"Possible fiber disconnect, switch port failure, or network instability.","Inspect fiber connectivity, verify switch port health, and check interface stability."
50010,2001010,2024-03-05 02:00:00,Problem: Interface ge-0/0/12(to_CORE-SW1): Link down,"Problem started at 11:40:00 on 2025.03.05
Problem name: Interface ge-0/0/12(to_CORE-SW1): Link down
Host: SWITCH-ACC-01
Severity: High
Operational data: Current state: down (2)
Original problem ID: 2001010
",1,,0,SWITCH-ACC-01,High,Interface ge-0/0/12(to_CORE-SW1): Link down,False,False,False,Problem,SWITCH-ACC-01,"CORE-SW1, SWITCH-ACC-01-MGMT, nan",10.1.1.2,True,INCIDENT_7,9,Critical,"Possible fiber disconnect, switch port failure, or network instability.","Inspect fiber connectivity, verify switch port health, and check interface stability."
