ticket_id,created_at,priority,status,category,assigned_team,description
TT-2025-001,2025-03-05 08:15:00,P1,Closed,Network,"NOC Team","Major outage reported in the downtown core ring. Approximately 1200 subscribers affected across 3 cell sites (Cell_Alpha_001, Cell_Beta_002, and Cell_Delta_004). Root cause identified as a fiber cut on span between SWITCH-CORE-01 and SWITCH-ACC-01 at segment KM-42.3. Traffic rerouted via backup path at 08:45. Fiber repair completed by field crew at 11:30. All services restored and confirmed stable at 12:00. MTTR: 3 hours 45 minutes."
TT-2025-002,2025-03-05 09:22:00,P2,Open,RAN,"RAN Optimization","Persistent throughput degradation observed on Cell_Beta_002 since 2025-03-04. DL throughput dropped from 45 Mbps baseline to around 28 Mbps. PRB utilization consistently above 90%, peaking at 95.7%. Suspected cause is increased subscriber load due to nearby site Cell_Kappa_010 being offline for planned maintenance. Recommended action: enable load balancing parameters and adjust CIO offset to -3dB for neighboring cells. No hardware fault detected. RSRP readings at cell edge showing -112 dBm which is below the acceptable threshold of -105 dBm."
TT-2025-003,2025-03-05 10:05:00,P3,Closed,Hardware,"DC Operations","Routine inspection found that SERVER-GPU-01 in rack R3-SLOT-14 has elevated PCIe temperatures. Current reading: 72C against warning threshold of 70C. Server fan module #3 (FAN-SN-X8842) reported running at reduced RPM (2100 RPM vs nominal 4500 RPM). Replacement fan ordered under warranty case WC-20250305-A. Temporary mitigation: reduced GPU workload by 30% and increased CRAC unit cooling setpoint from 22C to 19C. Estimated part arrival: 2025-03-07."
TT-2025-004,2025-03-05 10:33:00,P1,Closed,Security,"Security Ops","VPN tunnel Main-Tunnel1 between FIREWALL-MAIN-01 (IP: 10.0.0.1) and remote site gateway (IP: 203.100.50.1) went down at 10:33. Investigation revealed IKE Phase 2 rekeying failure due to mismatched encryption proposals after a scheduled policy update pushed at 10:30. Tunnel restored at 10:52 by reverting the crypto-map configuration on FIREWALL-MAIN-01. Total affected users: approximately 85. Data loss: none confirmed. Preventive action: add pre-change validation step for VPN policy updates in change management process."
TT-2025-005,2025-03-05 11:00:00,P2,Open,RAN,"RAN Optimization","Customer complaints received regarding poor indoor coverage at Westfield Shopping Mall (Site ID: BTS-7742, Cell_Gamma_003). 15 complaint tickets logged in the last 24 hours. Drive test results show RSRP -118 dBm at ground floor and RSRQ -14 dB at basement level B2. Current antenna configuration: azimuth 120/240/0 degrees, mechanical tilt 4 deg, electrical tilt 6 deg. Suggestion from RF team: adjust electrical tilt to 3 deg on sector 1 and consider deploying 2 small cells for basement coverage. Estimated cost for small cell deployment: USD 45,000 per unit."
TT-2025-006,2025-03-05 11:45:00,P3,Open,Capacity,"Network Planning","Capacity forecast report for Q2-2025 indicates that 4 cells are expected to breach 85% PRB utilization threshold within the next 60 days: Cell_Beta_002 (current: 92%, growth rate: +2.1% per week), Cell_Lambda_011 (current: 78%, growth rate: +3.5% per week), Cell_Mu_012 (current: 71%, growth rate: +4.2% per week), and Cell_Nu_013 (current: 80%, growth rate: +1.8% per week). Recommended actions: deploy additional carrier on Cell_Beta_002, split Cell_Lambda_011 and Cell_Mu_012, and monitor Cell_Nu_013. Budget required: USD 120,000 for carrier addition, USD 250,000 per site split."
TT-2025-007,2025-03-05 12:10:00,P1,Closed,Network,"NOC Team","HA failover event detected on FIREWALL-MAIN-01. Primary unit (SN: FW-001-A, firmware v7.2.5) switched to standby unit (SN: FW-001-B, firmware v7.2.4) at 12:00:05. Failover cause: primary unit memory utilization reached 98% triggering automatic failover. Session synchronization completed in 2.3 seconds. Total sessions: 45,231. Dropped sessions during failover: 127 (0.28%). Post-failover investigation revealed memory leak in SSL inspection module. Temporary fix: disabled deep SSL inspection for non-critical traffic categories. Permanent fix awaiting firmware patch v7.2.6 (ETA: 2025-03-15). Primary unit restarted and set as standby at 12:45."
TT-2025-008,2025-03-05 13:30:00,P2,Open,Performance,"RAN Optimization","Abnormal interference pattern detected on Cell_Alpha_001 sector 2 since 2025-03-05 09:00. Uplink SINR degraded from 12 dB to 4 dB. Cross-checking with neighboring site data suggests external interference source on Band 7 (2600 MHz) centered at EARFCN 3100. Direction finding indicates interference azimuth approximately 145 degrees from cell site. Suspected unauthorized signal source at approximate coordinates 40.7128N, -74.0060W. Regulatory team notified for investigation. Impact: approximately 340 users experiencing degraded uplink performance with average UL throughput reduction of 62%. No impact on downlink."
TT-2025-009,2025-03-05 14:00:00,P3,Closed,Maintenance,"Field Operations","Planned maintenance completed on SWITCH-OOB-04. Firmware upgraded from v21.4R3 to v22.2R1. Pre-maintenance checks: verified 8 active LLDP neighbors, backup config saved to TFTP server 10.0.100.5. Maintenance window: 02:00 to 04:00 on 2025-03-05. Actual downtime: 35 minutes (02:15 to 02:50). Post-maintenance validation: all 8 LLDP neighbors restored, BGP sessions re-established within 45 seconds, no packet loss detected on monitoring probes. Rollback plan was not needed."
TT-2025-010,2025-03-05 14:30:00,P2,Open,Performance,"NOC Team","Intermittent packet loss observed on the link between SWITCH-ACC-01 (ge-0/0/12) and CORE-SW1 (xe-0/0/8). Loss rate fluctuating between 0.5% and 3.2% over the last 4 hours. Interface counters show 1,247 CRC errors and 89 input errors on SWITCH-ACC-01 ge-0/0/12 since 10:00. Optical signal levels: TX power -2.1 dBm (normal range: -1 to -5 dBm), RX power -18.7 dBm (normal range: -1 to -15 dBm, ALERT: below threshold). Suspected cause: degraded fiber patch cord or dirty connector. Cleaning attempt performed at 14:15, RX power improved slightly to -17.2 dBm but still below threshold. Fiber patch cord replacement scheduled for next maintenance window."
